alpha,attack_eps,coverage,coverage_certav_abstained,coverage_certified_at_radius,coverage_fake,coverage_real,coverage_uncertified_at_radius,key,mean_set_size,n,n_calibration,qhat,radius,score_type,singleton_rate,source,variant
0.2,,0.9721212121212122,1.0,0.9709962168978562,1.0,0.6933333333333334,1.0,alpha_0.200__r_0.50__score_cp,1.1745454545454546,825,825,0.048021633141175024,0.5,cp,0.8254545454545454,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.05,,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_1.00__score_cp,2.0,825,825,0.5,1.0,cp,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.1,,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_1.00__score_cp,2.0,825,825,0.5,1.0,cp,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.2,,0.9721212121212122,1.0,0.9694148936170213,1.0,0.6933333333333334,1.0,alpha_0.200__r_1.00__score_cp,1.1745454545454546,825,825,0.048021633141175024,1.0,cp,0.8254545454545454,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.05,,0.9503030303030303,1.0,0.9503030303030303,0.9986666666666667,0.4666666666666667,,alpha_0.050__r_0.00__score_log,1.0836363636363637,825,825,1.995100393246085,0.0,log,0.9163636363636364,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.1,,0.9272727272727272,1.0,0.9272727272727272,0.992,0.28,,alpha_0.100__r_0.00__score_log,1.0351515151515152,825,825,0.33827385856784115,0.0,log,0.9648484848484848,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.2,,0.9721212121212122,1.0,0.9721212121212122,1.0,0.6933333333333334,,alpha_0.200__r_0.00__score_log,1.1745454545454546,825,825,0.028399474521698,0.0,log,0.8254545454545454,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.05,,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.25__score_log,2.0,825,825,0.6931471805599453,0.25,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.1,,0.9272727272727272,1.0,0.9256505576208178,0.992,0.28,1.0,alpha_0.100__r_0.25__score_log,1.0351515151515152,825,825,0.40503028300454935,0.25,log,0.9648484848484848,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
0.2,,0.9721212121212122,1.0,0.9714993804213135,1.0,0.6933333333333334,1.0,alpha_0.200__r_0.25__score_log,1.1745454545454546,825,825,0.04921296833675208,0.25,log,0.8254545454545454,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,clean
